Time,Source IP,Destination IP,Protocol,Length,TTL,Source Port,Destination Port,TCP Flags,Content-Type,Host,User-Agent
2025-02-11 20:52:42.320791960,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.320791960,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.320791960,52.223.193.152,192.168.1.63,TCP,1156,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.320832968,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.322803974,192.168.1.38,224.76.78.75,UDP,59,1,20909,20909,N/A,N/A,N/A,N/A
2025-02-11 20:52:42.370512962,52.223.193.152,192.168.1.63,TCP,82,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.370512962,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.370512962,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.370512962,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.370512962,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.370580912,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.372584105,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.372584105,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.372584105,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.372584105,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.372584105,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.372584105,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.372584105,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.372584105,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.372584105,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.372584105,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.372584105,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.372584105,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.372626066,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.375521898,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.375521898,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.375521898,52.223.193.152,192.168.1.63,TCP,350,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.375552893,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.398813009,52.223.193.152,192.168.1.63,TCP,82,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.398813009,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.398813009,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.398813009,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.398813009,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,PA,N/A,N/A,N/A
2025-02-11 20:52:42.398910999,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.399465084,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.399465084,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
2025-02-11 20:52:42.399492979,192.168.1.63,52.223.193.152,TCP,54,128,54501,443,A,N/A,N/A,N/A
2025-02-11 20:52:42.402055979,52.223.193.152,192.168.1.63,TCP,1514,58,443,54501,A,N/A,N/A,N/A
